tt_label,session_number,speaker2,task,ipu2_start_time,ipu2_end_time,overlapped_transition
X1,1,A,1,0.41,2.1817,False
#,1,A,1,2.1817,3.33,False
X2,1,A,1,3.33,10.3522,False
#,1,A,1,10.3522,11.8796,False
S,1,A,1,11.8796,12.2168,False
#,1,A,1,12.2168,20.0584,False
S,1,A,1,20.0584,20.4684,False
#,1,A,1,20.4684,22.976,False
S,1,A,1,22.976,24.6072,False
#,1,A,1,24.6072,25.6031,False
O,1,A,1,25.6031,26.6289,True
#,1,A,1,26.6289,33.4844,False
S,1,A,1,33.4844,33.751,False
BC,1,A,2,51.1697,51.5666,False
#,1,A,2,51.5666,53.0746,False
BC,1,A,2,53.0746,53.3346,False
#,1,A,2,53.3346,55.3504,False
BC,1,A,2,55.3504,55.6304,False
#,1,A,2,55.6304,56.9404,False
S,1,A,2,56.9404,57.8328,False
#,1,A,2,57.8328,61.7997,False
BC,1,A,2,61.7997,62.0726,False
#,1,A,2,62.0726,72.9093,False
S,1,A,2,72.9093,73.8093,False
#,1,A,2,73.8093,74.4193,False
O,1,A,2,74.4193,76.5237,True
X1,1,A,3,82.2563,85.1652,False
#,1,A,3,85.1652,86.3267,False
X2,1,A,3,86.3267,91.4263,False
#,1,A,3,91.4263,92.7325,False
S,1,A,3,92.7325,93.5204,False
#,1,A,3,93.5204,94.3357,False
O,1,A,3,94.3357,97.8185,True
#,1,A,3,97.8185,100.0591,False
O,1,A,3,100.0591,100.3564,True
#,1,A,3,100.3564,102.7948,False
O,1,A,3,102.7948,103.5207,True
#,1,A,4,123.1142,123.6242,False
BI,1,A,4,123.6242,124.0192,True
#,1,A,4,124.0192,126.0319,False
BC,1,A,4,126.0319,126.3819,False
#,1,A,4,126.3819,129.1422,False
S,1,A,4,129.1422,129.6368,False
#,1,A,4,129.6368,130.7711,False
A,1,A,4,130.7711,131.1439,False
#,1,A,4,131.1439,132.4273,False
PI,1,A,4,132.4273,133.3583,False
#,1,A,4,133.3583,144.5479,False
BC,1,A,4,144.5479,145.0987,False
#,1,A,4,145.0987,154.3218,False
BC,1,A,4,154.3218,154.7418,False
#,1,A,4,154.7418,162.3094,False
I,1,A,4,162.3094,162.8294,True
#,1,A,4,162.8294,170.4418,False
S,1,A,4,170.4418,171.3894,False
#,1,A,4,171.3894,173.7477,False
S,1,A,4,173.7477,174.0798,False
X1,1,A,5,180.2291,181.9149,False
#,1,A,5,181.9149,183.3601,False
S,1,A,5,183.3601,187.1845,False
#,1,A,5,187.1845,188.2077,False
X2,1,A,5,188.2077,193.7501,False
#,1,A,5,193.7501,195.3809,False
S,1,A,5,195.3809,198.0501,False
#,1,A,5,198.0501,198.3701,False
