token_id,ipu_start_time,ipu_end_time,task_start_time,task_end_time,task,duration,session_channel,session_channel_task,session_task,channel,task_describer,task_target,task_score,corpus,speaker,speaker_gender,session_number,words_count,phones_count,words_by_second,phones_by_second
s01.task.1.t0.0.4100.tf.1.2239,0.41,1.2239,0.046,42.061,1,0.8139,01_A,01_A_1,01_1,A,A,mime,99,uba,101,f,01,2,9.0,2.4573,11.0577
s01.task.1.t0.1.5400.tf.2.1817,1.54,2.1817,0.046,42.061,1,0.6417,01_A,01_A_1,01_1,A,A,mime,99,uba,101,f,01,2,6.0,3.1169,9.3508
s01.task.1.t0.3.3300.tf.4.3400,3.33,4.34,0.046,42.061,1,1.01,01_A,01_A_1,01_1,A,A,mime,99,uba,101,f,01,2,13.0,1.9802,12.8713
s01.task.1.t0.4.6942.tf.6.0122,4.6942,6.0122,0.046,42.061,1,1.318,01_A,01_A_1,01_1,A,A,mime,99,uba,101,f,01,4,17.0,3.0349,12.8982
s01.task.1.t0.6.3300.tf.10.3522,6.33,10.3522,0.046,42.061,1,4.0222,01_A,01_A_1,01_1,A,A,mime,99,uba,101,f,01,12,44.0,2.9834,10.9392
s01.task.1.t0.11.8796.tf.12.2168,11.8796,12.2168,0.046,42.061,1,0.3372,01_A,01_A_1,01_1,A,A,mime,99,uba,101,f,01,1,5.0,2.9654,14.8268
s01.task.1.t0.20.0584.tf.20.4684,20.0584,20.4684,0.046,42.061,1,0.41,01_A,01_A_1,01_1,A,A,mime,99,uba,101,f,01,1,4.0,2.439,9.7561
s01.task.1.t0.22.9760.tf.23.2080,22.976,23.208,0.046,42.061,1,0.232,01_A,01_A_1,01_1,A,A,mime,99,uba,101,f,01,1,2.0,4.3101,8.6203
s01.task.1.t0.23.3523.tf.24.6072,23.3523,24.6072,0.046,42.061,1,1.2549,01_A,01_A_1,01_1,A,A,mime,99,uba,101,f,01,5,22.0,3.9844,17.5312
s01.task.1.t0.25.6031.tf.26.6289,25.6031,26.6289,0.046,42.061,1,1.0258,01_A,01_A_1,01_1,A,A,mime,99,uba,101,f,01,5,18.0,4.8744,17.5478
s01.task.1.t0.33.4844.tf.33.7510,33.4844,33.751,0.046,42.061,1,0.2666,01_A,01_A_1,01_1,A,A,mime,99,uba,101,f,01,1,2.0,3.7506,7.5013
s01.task.2.t0.51.1697.tf.51.5666,51.1697,51.5666,45.468,77.235284,2,0.3969,01_A,01_A_2,01_2,A,B,lawnmower,98,uba,101,f,01,1,4.0,2.5193,10.077
s01.task.2.t0.53.0746.tf.53.3346,53.0746,53.3346,45.468,77.235284,2,0.26,01_A,01_A_2,01_2,A,B,lawnmower,98,uba,101,f,01,1,2.0,3.8462,7.6923
s01.task.2.t0.55.3504.tf.55.6304,55.3504,55.6304,45.468,77.235284,2,0.28,01_A,01_A_2,01_2,A,B,lawnmower,98,uba,101,f,01,1,2.0,3.5714,7.1429
s01.task.2.t0.56.9404.tf.57.8328,56.9404,57.8328,45.468,77.235284,2,0.8925,01_A,01_A_2,01_2,A,B,lawnmower,98,uba,101,f,01,2,12.0,2.241,13.4459
s01.task.2.t0.61.7997.tf.62.0726,61.7997,62.0726,45.468,77.235284,2,0.2729,01_A,01_A_2,01_2,A,B,lawnmower,98,uba,101,f,01,1,2.0,3.6642,7.3283
s01.task.2.t0.72.9093.tf.73.8093,72.9093,73.8093,45.468,77.235284,2,0.9,01_A,01_A_2,01_2,A,B,lawnmower,98,uba,101,f,01,3,12.0,3.3333,13.3333
s01.task.2.t0.74.4193.tf.76.5237,74.4193,76.5237,45.468,77.235284,2,2.1045,01_A,01_A_2,01_2,A,B,lawnmower,98,uba,101,f,01,8,30.0,3.8015,14.2555
s01.task.3.t0.82.2563.tf.83.4149,82.2563,83.4149,80.365,118.133,3,1.1585,01_A,01_A_3,01_3,A,A,ear,98,uba,101,f,01,4,12.0,3.4526,10.3578
s01.task.3.t0.83.5658.tf.83.8885,83.5658,83.8885,80.365,118.133,3,0.3228,01_A,01_A_3,01_3,A,A,ear,98,uba,101,f,01,2,7.0,6.1964,21.6873
s01.task.3.t0.84.6409.tf.85.1652,84.6409,85.1652,80.365,118.133,3,0.5243,01_A,01_A_3,01_3,A,A,ear,98,uba,101,f,01,2,7.0,3.8143,13.35
s01.task.3.t0.86.3267.tf.86.6853,86.3267,86.6853,80.365,118.133,3,0.3586,01_A,01_A_3,01_3,A,A,ear,98,uba,101,f,01,2,5.0,5.5778,13.9444
s01.task.3.t0.87.4863.tf.88.7763,87.4863,88.7763,80.365,118.133,3,1.29,01_A,01_A_3,01_3,A,A,ear,98,uba,101,f,01,5,17.0,3.876,13.1783
s01.task.3.t0.89.1920.tf.90.0827,89.192,90.0827,80.365,118.133,3,0.8907,01_A,01_A_3,01_3,A,A,ear,98,uba,101,f,01,6,20.0,6.736,22.4534
s01.task.3.t0.90.3451.tf.91.4263,90.3451,91.4263,80.365,118.133,3,1.0812,01_A,01_A_3,01_3,A,A,ear,98,uba,101,f,01,3,18.0,2.7747,16.6484
s01.task.3.t0.92.7325.tf.93.5204,92.7325,93.5204,80.365,118.133,3,0.7878,01_A,01_A_3,01_3,A,A,ear,98,uba,101,f,01,3,13.0,3.8079,16.501
s01.task.3.t0.94.3357.tf.95.1787,94.3357,95.1787,80.365,118.133,3,0.8429,01_A,01_A_3,01_3,A,A,ear,98,uba,101,f,01,5,14.0,5.9316,16.6086
s01.task.3.t0.95.2301.tf.97.8185,95.2301,97.8185,80.365,118.133,3,2.5884,01_A,01_A_3,01_3,A,A,ear,98,uba,101,f,01,8,42.0,3.0907,16.2263
s01.task.3.t0.100.0591.tf.100.3564,100.0591,100.3564,80.365,118.133,3,0.2973,01_A,01_A_3,01_3,A,A,ear,98,uba,101,f,01,1,5.0,3.364,16.82
s01.task.3.t0.102.7948.tf.103.5207,102.7948,103.5207,80.365,118.133,3,0.7259,01_A,01_A_3,01_3,A,A,ear,98,uba,101,f,01,2,8.0,2.7551,11.0204
s01.task.4.t0.123.6242.tf.124.0192,123.6242,124.0192,122.260354,175.092,4,0.395,01_A,01_A_4,01_4,A,B,nail,99,uba,101,f,01,1,2.0,2.5314,5.0629
s01.task.4.t0.126.0319.tf.126.3819,126.0319,126.3819,122.260354,175.092,4,0.35,01_A,01_A_4,01_4,A,B,nail,99,uba,101,f,01,1,2.0,2.8571,5.7143
s01.task.4.t0.129.1422.tf.129.6368,129.1422,129.6368,122.260354,175.092,4,0.4946,01_A,01_A_4,01_4,A,B,nail,99,uba,101,f,01,1,6.0,2.022,12.1318
s01.task.4.t0.130.7711.tf.131.1439,130.7711,131.1439,122.260354,175.092,4,0.3728,01_A,01_A_4,01_4,A,B,nail,99,uba,101,f,01,2,6.0,5.3648,16.0943
s01.task.4.t0.132.4273.tf.133.3583,132.4273,133.3583,122.260354,175.092,4,0.931,01_A,01_A_4,01_4,A,B,nail,99,uba,101,f,01,3,9.0,3.2224,9.6671
s01.task.4.t0.144.5479.tf.145.0987,144.5479,145.0987,122.260354,175.092,4,0.5508,01_A,01_A_4,01_4,A,B,nail,99,uba,101,f,01,1,2.0,1.8156,3.6312
s01.task.4.t0.154.3218.tf.154.7418,154.3218,154.7418,122.260354,175.092,4,0.42,01_A,01_A_4,01_4,A,B,nail,99,uba,101,f,01,1,2.0,2.3809,4.7619
