Images,Describer,Target,Score,Time-used,t0,tf,session,task_number
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",A,mime,99,47.107,0.046,42.061,01,1
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",B,lawnmower,98,32.100,45.468,77.235284,01,2
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",A,ear,98,37.768,80.365,118.133,01,3
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",B,nail,99,54.634,122.260354,175.092,01,4
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",A,bluelion,91,51.135,178.795,229.93,01,5
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",B,yellowmoon,97,45.669,251.99649,296.68,01,6
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",A,bluemoon,98,40.408,299.711,340.119,01,7
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",B,lemon,99,35.921,342.507,378.978905,01,8
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",A,eye,98,97.255,383.36,480.726736,01,9
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",B,mirror,97,83.517,482.322,566.29938,01,10
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",A,lime,97,43.523,572.8,616.323,01,11
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",B,yellowmermaid,95,81.685,620.300824,700.481459,01,12
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",A,onion,98,61.550,706.341557,764.829,01,13
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",B,iron,97,89.959,767.381,857.34,01,14
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",A,mime,98,25.049,0.204565,24.006,02,1
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",B,lawnmower,94,18.840,38.468429,61.938312,02,2
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",A,ear,90,13.585,66.452,79.559465,02,3
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",B,nail,91,41.154,87.374486,123.530719,02,4
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",A,bluelion,0,39.939,130.064,170.003,02,5
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",B,yellowmoon,97,29.497,191.226809,214.685913,02,6
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",A,bluemoon,94,26.018,228.147759,252.035849,02,7
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",B,lemon,93,21.067,256.605491,277.639887,02,8
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",A,eye,83,51.007,282.321438,330.356,02,9
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",B,mirror,96,25.271,338.621401,360.700286,02,10
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",A,lime,91,48.714,368.510697,415.111827,02,11
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",B,yellowmermaid,96,57.401,423.057408,479.301416,02,12
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",A,onion,99,39.303,486.925311,524.242553,02,13
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",B,iron,95,61.420,528.149,586.93715,02,14
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",A,mime,92,32.474,0.086068,30.93,03,1
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",B,lawnmower,94,26.093,34.949,61.042,03,2
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",A,ear,97,29.823,64.855,94.678,03,3
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",B,nail,98,52.374,97.423,149.797,03,4
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",A,bluelion,96,70.402,156.129,226.531,03,5
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",B,yellowmoon,94,69.916,235.095,305.011,03,6
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",A,bluemoon,97,75.716,308.981,384.697,03,7
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",B,lemon,98,38.408,390.52087,426.177,03,8
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",A,eye,98,71.660,428.882,500.542,03,9
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",B,mirror,98,45.644,503.793,549.437,03,10
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",A,lime,99,54.639,556.12,610.759,03,11
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",B,yellowmermaid,96,74.909,613.444,688.353,03,12
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",A,onion,99,57.231,690.957,748.188,03,13
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",B,iron,95,68.833,753.934113,818.91131,03,14
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",A,mime,82,85.770,0.112213,84.170624,04,1
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",B,lawnmower,97,44.545,87.635,132.18,04,2
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",A,ear,99,91.280,136.165,228.592092,04,3
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",B,nail,90,107.478,232.869,340.347,04,4
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",A,bluelion,94,180.444,343.614,524.058,04,5
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",B,yellowmoon,100,121.418,530.221,651.639,04,6
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",A,bluemoon,90,88.351,656.754,745.105,04,7
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",B,lemon,99,60.293,749.055,809.348,04,8
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",A,eye,96,196.889,813.319989,1008.745,04,9
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",B,mirror,98,146.089,1011.291,1157.38,04,10
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",A,lime,97,119.169,1167.862,1287.031,04,11
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",B,yellowmermaid,96,143.684,1289.648,1433.332,04,12
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",A,onion,99,131.649,1435.747,1567.396,04,13
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",B,iron,97,131.720,1569.871,1699.277953,04,14
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",A,mime,92,56.969,0.137317,55.15,05,1
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",B,lawnmower,96,25.905,74.433707,96.548916,05,2
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",A,ear,98,57.296,106.262466,156.284562,05,3
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",B,nail,93,70.612,170.096305,236.602391,05,4
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",A,bluelion,85,206.538,243.298415,357.573005,05,5
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",B,yellowmoon,98,53.573,378.79212,427.594384,05,6
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",A,bluemoon,90,39.427,436.635174,474.061705,05,7
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",B,lemon,95,66.478,479.461097,545.645993,05,8
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",A,eye,99,130.454,550.540609,680.244504,05,9
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",B,mirror,99,47.034,693.367009,736.15932,05,10
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",A,lime,98,42.217,760.679953,800.743821,05,11
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",B,yellowmermaid,98,148.181,805.02857,954.619348,05,12
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",A,onion,99,52.820,967.682373,1015.324081,05,13
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",B,iron,96,111.536,1037.315322,1137.336009,05,14
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",A,iron,94,80.712,0.044883,76.473,06,1
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",B,lime,90,111.687,80.351,192.038,06,2
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",A,mm,99,103.595,202.360671,302.090227,06,3
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",B,onion,99,162.670,309.22622,469.097476,06,4
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",A,whale,88,121.660,477.525278,594.971128,06,5
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",B,lawnmower,98,153.513,615.03122,767.425225,06,6
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",A,mime,94,155.220,773.190886,926.454,06,7
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",B,owl,96,216.893,933.903614,1148.982,06,8
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",A,yellowlion,99,278.876,1152.517858,1293.199413,06,9
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",B,ear,99,129.847,1302.616463,1430.203781,06,10
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",A,yellowmoon,99,169.658,1446.394307,1610.464578,06,11
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",B,eye,98,141.288,1616.675459,1755.063363,06,12
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",A,nun,98,97.569,1761.579113,1857.060241,06,13
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",B,bluemoon,96,165.256,1860.861152,2023.809038,06,14
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",A,mime,89,38.715,0.356863,37.562,07,1
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",B,lawnmower,97,26.652,40.629,67.281,07,2
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",A,ear,99,25.271,70.396,95.051251,07,3
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",B,nail,51,24.220,99.521,122.930783,07,4
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",A,bluelion,74,58.292,128.522,186.814,07,5
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",B,yellowmoon,94,24.642,196.445,221.087,07,6
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",A,bluemoon,97,30.307,223.586,253.021299,07,7
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",B,lemon,97,33.092,256.841,289.933,07,8
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",A,eye,90,40.821,292.324,334.323838,07,9
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",B,mirror,97,21.251,336.698,357.949,07,10
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",A,lime,99,23.778,363.525,387.303,07,11
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",B,yellowmermaid,5,33.113,389.895,422.19174,07,12
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",A,onion,100,40.819,428.793,468.163326,07,13
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",B,iron,96,50.081,475.973736,523.523214,07,14
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",A,iron,94,190.067,0.14461,187.375,08,1
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",B,lime,93,311.868,192.778,505.076205,08,2
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",A,mm,97,351.700,512.285969,861.634772,08,3
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",B,onion,100,282.827,867.756757,1149.606,08,4
"yellowmermaid,mm,iron,onion,whale,bluemermaid,lime",A,whale,97,175.354,1158.135134,1332.244729,08,5
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",B,lawnmower,92,300.255,1348.25399,1645.643,08,6
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",A,mime,96,336.585,1658.911079,1993.242061,08,7
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",B,owl,97,371.648,2019.420837,2384.101824,08,8
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",A,yellowlion,99,330.211,2390.813,2721.637284,08,9
"yellowlion,ear,mime,nail,bluelion,owl,lawnmower",B,ear,99,393.422,2728.273974,3119.871568,08,10
"eye,mirror,bluemoon,nun,ruler,lemon,yellowmoon",A,yellowmoon,100,465.304,3127.983,3593.571398,08,11
