tt_label,session_number,speaker2,task,ipu2_start_time,ipu2_end_time,overlapped_transition
X1,01,A,1,0.41,2.1817,False
#,01,A,1,2.1817,3.33,False
X2,01,A,1,3.33,10.3522,False
#,01,A,1,10.3522,11.8796,False
S,01,A,1,11.8796,12.2168,False
#,01,A,1,12.2168,20.0584,False
S,01,A,1,20.0584,20.4684,False
#,01,A,1,20.4684,22.976,False
S,01,A,1,22.976,24.6072,False
#,01,A,1,24.6072,25.6031,False
O,01,A,1,25.6031,26.6289,True
#,01,A,1,26.6289,33.4844,False
S,01,A,1,33.4844,33.751,False
BC,01,A,2,51.1697,51.5666,False
#,01,A,2,51.5666,53.0746,False
BC,01,A,2,53.0746,53.3346,False
#,01,A,2,53.3346,55.3504,False
BC,01,A,2,55.3504,55.6304,False
#,01,A,2,55.6304,56.9404,False
S,01,A,2,56.9404,57.8328,False
#,01,A,2,57.8328,61.7997,False
BC,01,A,2,61.7997,62.0726,False
#,01,A,2,62.0726,72.9093,False
S,01,A,2,72.9093,73.8093,False
#,01,A,2,73.8093,74.4193,False
O,01,A,2,74.4193,76.5237,True
X1,01,A,3,82.2563,85.1652,False
#,01,A,3,85.1652,86.3267,False
X2,01,A,3,86.3267,91.4263,False
#,01,A,3,91.4263,92.7325,False
S,01,A,3,92.7325,93.5204,False
#,01,A,3,93.5204,94.3357,False
O,01,A,3,94.3357,97.8185,True
#,01,A,3,97.8185,100.0591,False
O,01,A,3,100.0591,100.3564,True
#,01,A,3,100.3564,102.7948,False
O,01,A,3,102.7948,103.5207,True
#,01,A,4,123.1142,123.6242,False
BI,01,A,4,123.6242,124.0192,True
#,01,A,4,124.0192,126.0319,False
BC,01,A,4,126.0319,126.3819,False
#,01,A,4,126.3819,129.1422,False
S,01,A,4,129.1422,129.6368,False
#,01,A,4,129.6368,130.7711,False
A,01,A,4,130.7711,131.1439,False
#,01,A,4,131.1439,132.4273,False
PI,01,A,4,132.4273,133.3583,False
#,01,A,4,133.3583,144.5479,False
BC,01,A,4,144.5479,145.0987,False
#,01,A,4,145.0987,154.3218,False
BC,01,A,4,154.3218,154.7418,False
#,01,A,4,154.7418,162.3094,False
I,01,A,4,162.3094,162.8294,True
#,01,A,4,162.8294,170.4418,False
S,01,A,4,170.4418,171.3894,False
#,01,A,4,171.3894,173.7477,False
S,01,A,4,173.7477,174.0798,False
X1,01,A,5,180.2291,181.9149,False
#,01,A,5,181.9149,183.3601,False
S,01,A,5,183.3601,187.1845,False
#,01,A,5,187.1845,188.2077,False
X2,01,A,5,188.2077,193.7501,False
#,01,A,5,193.7501,195.3809,False
S,01,A,5,195.3809,198.0501,False
#,01,A,5,198.0501,198.3701,False
X3,01,A,5,198.3701,199.0801,False
#,01,A,5,199.0801,199.9439,False
O,01,A,5,199.9439,201.4701,True
#,01,A,5,201.4701,202.7901,False
S,01,A,5,202.7901,204.3527,False
#,01,A,5,204.3527,216.7824,False
S,01,A,5,216.7824,219.8728,False
#,01,A,5,219.8728,222.2992,False
O,01,A,5,222.2992,222.6136,True
X3,01,A,6,252.3551,252.7369,False
#,01,A,6,252.7369,253.5854,False
S,01,A,6,253.5854,254.6787,False
#,01,A,6,254.6787,255.6771,False
S,01,A,6,255.6771,256.2471,False
#,01,A,6,256.2471,256.8071,False
S,01,A,6,256.8071,257.5771,False
#,01,A,6,257.5771,262.1214,False
S,01,A,6,262.1214,263.9383,False
#,01,A,6,263.9383,281.7363,False
A,01,A,6,281.7363,282.0761,False
#,01,A,6,282.0761,289.6192,False
BC_O,01,A,6,289.6192,290.0092,False
#,01,A,6,290.0092,292.4163,False
S,01,A,6,292.4163,292.9085,False
X1,01,A,7,301.7943,303.6403,False
#,01,A,7,303.6403,304.8386,False
X2,01,A,7,304.8386,312.2286,False
#,01,A,7,312.2286,312.875,False
O,01,A,7,312.875,313.9986,True
#,01,A,7,313.9986,319.9906,False
S,01,A,7,319.9906,320.4783,False
#,01,A,7,320.4783,325.6365,False
PI,01,A,7,325.6365,336.6879,False
BC,01,A,8,346.7165,347.1148,False
#,01,A,8,347.1148,349.4027,False
S,01,A,8,349.4027,349.9173,False
#,01,A,8,349.9173,353.3995,False
S,01,A,8,353.3995,354.6095,False
#,01,A,8,354.6095,361.0721,False
I,01,A,8,361.0721,361.6321,True
#,01,A,8,361.6321,363.0454,False
I,01,A,8,363.0454,363.5055,True
#,01,A,8,363.5055,376.7106,False
BC_O,01,A,8,376.7106,377.0606,False
#,01,A,8,377.0606,378.4301,False
O,01,A,8,378.4301,378.71,True
X1,01,A,9,384.9818,388.8307,False
#,01,A,9,388.8307,389.809,False
X2,01,A,9,389.809,391.057,False
#,01,A,9,391.057,392.2857,False
X3,01,A,9,392.2857,399.4339,False
#,01,A,9,399.4339,400.1119,False
X2,01,A,9,400.1119,400.9635,False
#,01,A,9,400.9635,401.4105,False
X2_O,01,A,9,401.4105,402.2383,False
#,01,A,9,402.2383,403.137,False
X3,01,A,9,403.137,405.3748,False
#,01,A,9,405.3748,405.537,False
X3,01,A,9,405.537,405.903,False
#,01,A,9,405.903,405.977,False
X3,01,A,9,405.977,406.9041,False
#,01,A,9,406.9041,409.0506,False
S,01,A,9,409.0506,409.3426,False
#,01,A,9,409.3426,410.3106,False
S,01,A,9,410.3106,411.8533,False
#,01,A,9,411.8533,412.3441,False
X2,01,A,9,412.3441,414.1006,False
#,01,A,9,414.1006,417.4887,False
S,01,A,9,417.4887,420.7188,False
#,01,A,9,420.7188,421.1488,False
O,01,A,9,421.1488,421.8087,True
#,01,A,9,421.8087,425.0607,False
S,01,A,9,425.0607,427.6356,False
#,01,A,9,427.6356,432.0438,False
S,01,A,9,432.0438,435.8001,False
#,01,A,9,435.8001,442.038,False
S,01,A,9,442.038,452.2541,False
#,01,A,9,452.2541,452.6245,False
X3,01,A,9,452.6245,456.2543,False
#,01,A,9,456.2543,470.5847,False
S,01,A,9,470.5847,472.1905,False
#,01,A,9,472.1905,472.3064,False
X3,01,A,9,472.3064,473.0542,False
#,01,A,9,473.0542,476.94,False
S,01,A,9,476.94,477.8355,False
#,01,A,9,477.8355,478.32,False
X3,01,A,9,478.32,479.14,False
X1,01,A,10,482.5901,483.4525,False
#,01,A,10,483.4525,489.5119,False
BC,01,A,10,489.5119,489.699,False
#,01,A,10,489.699,493.2212,False
PI,01,A,10,493.2212,495.4912,False
#,01,A,10,495.4912,510.3027,False
BC,01,A,10,510.3027,510.5971,False
#,01,A,10,510.5971,520.0624,False
A,01,A,10,520.0624,520.4924,False
#,01,A,10,520.4924,521.7149,False
S,01,A,10,521.7149,521.8725,False
#,01,A,10,521.8725,522.5963,False
O,01,A,10,522.5963,523.1964,True
#,01,A,10,523.1964,525.6053,False
BC_O,01,A,10,525.6053,525.8752,False
#,01,A,10,525.8752,537.6123,False
BC,01,A,10,537.6123,537.9303,False
#,01,A,10,537.9303,548.3318,False
A,01,A,10,548.3318,549.1,False
#,01,A,10,549.1,557.7663,False
PI,01,A,10,557.7663,558.5149,False
#,01,A,10,558.5149,559.6367,False
S,01,A,10,559.6367,560.1263,False
#,01,A,10,560.1263,560.7651,False
I,01,A,10,560.7651,561.7936,True
#,01,A,10,561.7936,565.8577,False
S,01,A,10,565.8577,566.0034,False
X1,01,A,11,575.539,576.2816,False
#,01,A,11,576.2816,577.6962,False
X2,01,A,11,577.6962,588.4218,False
#,01,A,11,588.4218,589.7418,False
S,01,A,11,589.7418,594.6053,False
#,01,A,11,594.6053,595.1992,False
X2,01,A,11,595.1992,597.0375,False
#,01,A,11,597.0375,598.3487,False
S,01,A,11,598.3487,601.5765,False
#,01,A,11,601.5765,601.7431,False
X3,01,A,11,601.7431,605.1618,False
#,01,A,11,605.1618,607.1229,False
S,01,A,11,607.1229,607.2844,False
#,01,A,11,607.2844,607.8829,False
O,01,A,11,607.8829,611.0381,True
BC,01,A,12,622.8764,623.0797,False
#,01,A,12,623.0797,625.2327,False
S,01,A,12,625.2327,627.3384,False
#,01,A,12,627.3384,628.2417,False
A,01,A,12,628.2417,628.6923,False
#,01,A,12,628.6923,629.9906,False
S,01,A,12,629.9906,630.9864,False
#,01,A,12,630.9864,633.123,False
S,01,A,12,633.123,633.3404,False
#,01,A,12,633.3404,638.2264,False
BC,01,A,12,638.2264,638.5087,False
#,01,A,12,638.5087,641.3854,False
S,01,A,12,641.3854,641.9745,False
#,01,A,12,641.9745,644.6719,False
O,01,A,12,644.6719,644.956,True
#,01,A,12,644.956,652.9098,False
S,01,A,12,652.9098,653.4785,False
#,01,A,12,653.4785,654.5304,False
S,01,A,12,654.5304,658.4398,False
#,01,A,12,658.4398,658.6576,False
X3,01,A,12,658.6576,659.1098,False
#,01,A,12,659.1098,659.4711,False
A,01,A,12,659.4711,660.0898,False
#,01,A,12,660.0898,660.4067,False
BI,01,A,12,660.4067,661.0128,True
#,01,A,12,661.0128,661.4932,False
I,01,A,12,661.4932,663.1998,True
#,01,A,12,663.1998,664.3722,False
S,01,A,12,664.3722,665.3998,False
#,01,A,12,665.3998,665.4898,False
X3,01,A,12,665.4898,665.9393,False
#,01,A,12,665.9393,670.1359,False
PI,01,A,12,670.1359,671.9174,False
#,01,A,12,671.9174,688.5498,False
BC,01,A,12,688.5498,688.8555,False
#,01,A,12,688.8555,690.0416,False
O,01,A,12,690.0416,691.0136,True
#,01,A,12,691.0136,693.3902,False
S,01,A,12,693.3902,693.6111,False
#,01,A,12,693.6111,697.8836,False
I,01,A,12,697.8836,698.8836,True
#,01,A,12,698.8836,699.9602,False
PI,01,A,12,699.9602,700.3231,False
X1,01,A,13,706.8486,707.3841,False
#,01,A,13,707.3841,708.8621,False
O,01,A,13,708.8621,714.9341,True
#,01,A,13,714.9341,717.3839,False
S,01,A,13,717.3839,718.8139,False
#,01,A,13,718.8139,720.3074,False
S,01,A,13,720.3074,724.5339,False
#,01,A,13,724.5339,725.3639,False
O,01,A,13,725.3639,727.8367,True
#,01,A,13,727.8367,729.8345,False
O,01,A,13,729.8345,731.0265,True
#,01,A,13,731.0265,731.631,False
I,01,A,13,731.631,733.9043,True
#,01,A,13,733.9043,734.695,False
O,01,A,13,734.695,735.541,True
#,01,A,13,735.541,736.4044,False
O,01,A,13,736.4044,737.0253,True
#,01,A,13,737.0253,737.5547,False
X2,01,A,13,737.5547,744.4736,False
#,01,A,13,744.4736,748.2761,False
O,01,A,13,748.2761,750.4561,True
#,01,A,13,750.4561,758.3836,False
A,01,A,13,758.3836,758.7596,False
#,01,A,13,758.7596,758.8996,False
O,01,A,13,758.8996,760.7496,True
BC,01,A,14,772.8204,773.108,False
#,01,A,14,773.108,778.3599,False
S,01,A,14,778.3599,779.0691,False
#,01,A,14,779.0691,780.8087,False
S,01,A,14,780.8087,782.4699,False
#,01,A,14,782.4699,784.5409,False
PI,01,A,14,784.5409,786.3556,False
#,01,A,14,786.3556,794.821,False
A,01,A,14,794.821,795.141,False
#,01,A,14,795.141,805.1634,False
S,01,A,14,805.1634,806.1311,False
#,01,A,14,806.1311,806.9355,False
X3,01,A,14,806.9355,807.1691,False
#,01,A,14,807.1691,808.8851,False
BC,01,A,14,808.8851,809.2169,False
#,01,A,14,809.2169,811.1928,False
PI,01,A,14,811.1928,811.8377,False
#,01,A,14,811.8377,813.1028,False
PI,01,A,14,813.1028,813.3828,False
#,01,A,14,813.3828,813.7165,False
I,01,A,14,813.7165,815.4016,True
#,01,A,14,815.4016,822.3183,False
S,01,A,14,822.3183,823.3472,False
#,01,A,14,823.3472,824.4388,False
S,01,A,14,824.4388,825.4436,False
#,01,A,14,825.4436,827.1092,False
S,01,A,14,827.1092,827.396,False
#,01,A,14,827.396,829.8217,False
PI,01,A,14,829.8217,832.2744,False
#,01,A,14,832.2744,832.6111,False
I,01,A,14,832.6111,833.0051,True
#,01,A,14,833.0051,848.7256,False
PI,01,A,14,848.7256,849.0202,False
#,01,A,14,849.0202,851.1456,False
S,01,A,14,851.1456,854.4114,False
#,01,A,14,854.4114,854.4714,False
X3,01,A,14,854.4714,855.1163,False
#,01,A,14,855.1163,855.8214,False
PI,01,A,14,855.8214,856.2427,False
#,01,A,14,856.2427,856.4214,False
A,01,A,14,856.4214,856.8599,False
#,01,A,14,856.8599,857.0839,False
O,01,A,14,857.0839,857.3153,True
BC,01,B,1,2.4321,2.8471,False
#,01,B,1,2.8471,10.5556,False
S,01,B,1,10.5556,11.84,False
#,01,B,1,11.84,13.3987,False
S,01,B,1,13.3987,18.85,False
#,01,B,1,18.85,20.21,False
X3,01,B,1,20.21,22.8504,False
#,01,B,1,22.8504,25.0365,False
S,01,B,1,25.0365,25.7446,False
#,01,B,1,25.7446,27.2642,False
S,01,B,1,27.2642,32.5905,False
#,01,B,1,32.5905,33.4746,False
X3,01,B,1,33.4746,41.6522,False
X1,01,B,2,48.2265,50.1964,False
#,01,B,2,50.1964,51.6472,False
X2,01,B,2,51.6472,52.738,False
#,01,B,2,52.738,53.0575,False
X3,01,B,2,53.0575,55.0573,False
#,01,B,2,55.0573,55.6421,False
X2,01,B,2,55.6421,56.6172,False
#,01,B,2,56.6172,58.1432,False
S,01,B,2,58.1432,60.5273,False
#,01,B,2,60.5273,62.0573,False
X2_O,01,B,2,62.0573,72.4873,False
#,01,B,2,72.4873,72.9273,False
X3,01,B,2,72.9273,74.5872,False
